 ;Autoren;Anzahl;Prozentsatz
1;1;19595;91.9694
2;2;982;4.609
3;3;605;2.8396
4;4;73;0.3426
5;None;24;0.1126
6;5;18;0.0845
7;7;5;0.0235
8;6;3;0.0141
9;9;1;0.0047
